attribution,assignment_count,file_count,section_count,as_tag_overlap_count
Frank Colquhoun,109,109,6,109
Daily Prayer,35,35,4,35
American Prayer Book,33,33,5,33
Augustine,29,29,1,29
Church of South India,27,27,4,27
Book of Common Order,23,23,6,23
Scottish Prayer Book,23,23,5,23
William Temple,22,22,5,22
New Every Morning,20,20,5,20
Prayers for the Christian Year,19,19,2,19
William Bright,19,19,5,19
J. R. W. Stott,17,17,6,17
Canadian Prayer Book,15,15,6,15
George Appleton,15,15,3,15
Frederick B. Macnutt,14,14,3,14
Gelasian Sacramentary,13,13,5,13
Adapted from Book of Common Prayer,12,12,5,12
Henry Alford,12,12,2,12
"The Kingdom, the Power, and the Glory",12,12,4,12
B. F. Westcott,11,11,4,11
Euchologium Anglicanum,11,11,1,11
Irish Prayer Book,11,11,4,11
Leonine Sacramentary,10,10,3,10
Canadian Prayer Book*,9,9,2,0
A Diocesan Service Book,8,8,4,8
A Procession of Passion Prayers,8,8,3,8
C. J. Vaughan,8,8,3,8
James M. Todd,8,8,4,8
L. E. H. Stephens-Hodge,8,8,1,8
Peter Green,8,8,2,8
St. Augustine,8,8,3,8
After the Third Collect,7,7,4,7
Basil Naylor,7,7,1,7
John Hunter,7,7,5,7
Lancelot Andrewes,7,7,4,7
With all our Strength,7,7,4,7
Ambrose,6,6,1,6
E. B. Pusey,6,6,3,6
Guild of Health,6,6,1,6
Henry Alford*,6,6,1,0
W. E. Orchard,6,6,2,6
"Canterbury Convocation, 1862",5,5,2,5
Christina Rossetti,5,5,2,5
Harold Anson,5,5,3,5
Harold Riley,5,5,1,5
James Ferguson,5,5,1,5
Jeremy Taylor,5,5,3,5
Lutheran Church,5,5,3,5
New Every Morning*,5,5,2,0
R. M. Benson,5,5,4,5
Richard D. Acland,5,5,1,5
Ruby E. Cleeve,5,5,1,5
South African Prayer Book,5,5,3,5
"The Kingdom, the Power, and the Glory*",5,5,4,0
Thomas Ken,5,5,3,5
W. E. Scudamore,5,5,1,5
William Knight,5,5,4,5
"A Form of Prayer, May 1940",4,4,2,4
A. McCheane*,4,4,1,0
Clement of Rome,4,4,1,4
Gregorian Sacramentary,4,4,3,4
Guild of St. Raphael,4,4,1,4
John Cosin,4,4,3,4
John Donne,4,4,2,4
Liturgy of the Catholic Apostolic Church*,4,4,2,0
Mothers’ Union,4,4,2,4
Mozarabic Sacramentary,4,4,2,4
Salisbury Book of Occasional Offices*,4,4,3,0
A Book of Prayers for Students*,3,3,2,0
"A Form of Prayer, August 1914",3,3,2,3
After Jeremy Taylor,3,3,2,3
American Prayer Book*,3,3,1,0
"Anglican Altar Services, 1941",3,3,1,3
Arthur W. Robinson,3,3,3,3
B. F. Westcott*,3,3,3,0
Basil,3,3,1,3
Country Services,3,3,1,3
E. M. Goulburn,3,3,2,3
E. Milner-White,3,3,1,3
E. W. Benson,3,3,2,3
Gelasian Sacramentary*,3,3,2,0
George Timms,3,3,1,3
"German Reformed Church, U.S.A.",3,3,1,3
Irish Prayer Book*,3,3,3,0
J. Armitage Robinson,3,3,2,3
J. Mountain*,3,3,1,0
John Chrysostom,3,3,1,3
Liturgy of the Catholic Apostolic Church,3,3,2,3
Mozarabic Sacramentary*,3,3,1,0
Nerses of Clajes,3,3,1,3
Percy Dearmer,3,3,1,3
Prayers of the World-Wide Church,3,3,2,3
Ryan Willers,3,3,1,3
The Daily Service,3,3,3,3
W. E. Orchard*,3,3,2,0
W. Walsham How*,3,3,2,0
William Knight*,3,3,1,0
A Book of Prayers for Students,2,2,2,2
A Book of Public Worship,2,2,1,2
A Book of Services and Prayers,2,2,1,2
A Devotional Diary,2,2,2,2
"A Form of Prayer, August 1918",2,2,1,2
A New Prayer Book,2,2,1,2
Adapted from Gelasian Sacramentary,2,2,2,2
Adapted from Irish Prayer Book,2,2,1,2
Adapted from Jeremy Taylor,2,2,2,2
Adapted from various sources,2,2,2,2
After Gelasian Sacramentary,2,2,2,2
After J. H. Newman,2,2,2,2
After Lancelot Andrewes,2,2,1,2
After St. Augustine,2,2,2,2
Alcuin,2,2,1,2
Ashton Oxenden*,2,2,2,0
Barnabas,2,2,1,2
Based on Book of Common Prayer,2,2,2,2
Book of Common Order*,2,2,2,0
"Canterbury Convocation, 1862*",2,2,1,0
Charles H. Brent,2,2,2,2
Charles Kingsley,2,2,2,2
Convocation of York,2,2,1,2
Erasmus*,2,2,2,0
F. T. Woods,2,2,2,2
Frank Houghton,2,2,2,2
Frederick Temple,2,2,2,2
From a prayer of the Eastern Church,2,2,2,2
From the Accession Service,2,2,1,2
Gallican Sacramentary,2,2,2,2
Gavin Hamilton,2,2,2,2
George H. Russell*,2,2,1,0
Gordon Hewitt,2,2,1,2
Gregorian Sacramentary*,2,2,1,0
Guild of Health*,2,2,2,0
H. F. Leatherland,2,2,1,2
Handley C. G. Moule*,2,2,1,0
Henry P. Liddon,2,2,1,2
J. Taylor Smith*,2,2,2,0
James Martineau,2,2,1,2
John Dowden,2,2,2,2
John Wesley’s Prayers,2,2,1,2
John Wesley’s Prayers*,2,2,2,0
John Wordsworth,2,2,1,2
"King’s College, Cambridge",2,2,2,2
Leslie D. Weatherhead,2,2,1,2
Leslie S. Hunter,2,2,2,2
Let Us Pray,2,2,2,2
Liturgy of St. James,2,2,2,2
Margaret Cropper,2,2,1,2
"National Mission, 1916",2,2,1,2
Office of None,2,2,1,2
Office of Sext,2,2,2,2
Polycarp,2,2,1,2
"Prayers for Education Sunday, 1956",2,2,1,2
Prayers for the Christian Year*,2,2,1,0
Prayers of the World-Wide Church*,2,2,2,0
Religious Drama Society,2,2,1,2
Salisbury Book of Occasional Offices,2,2,2,2
Salisbury Cathedral,2,2,2,2
South African Prayer Book*,2,2,2,0
Southwark Diocese,2,2,2,2
St. Anselm,2,2,1,2
St. Francis of Assisi,2,2,1,2
St. Ignatius Loyola,2,2,2,2
Student Prayer*,2,2,2,0
Sursum Corda,2,2,1,2
Thomas Wilson*,2,2,2,0
Thomas à Kempis,2,2,2,2
W. E. Scudamore*,2,2,2,0
W. H. Frere,2,2,1,2
W. Walsham How,2,2,2,2
William Bellars,2,2,2,2
William Laud,2,2,2,2
William Laud*,2,2,2,0
1 Peter 5:10–11,1,1,1,1
A Diocesan Service Book*,1,1,1,0
"A Form of Prayer, August 1918*",1,1,1,0
"A Form of Prayer, March 1941",1,1,1,1
"A Form of Prayer, October 1939",1,1,1,1
A Harvest of Myrrh and Spices (trs. W. H. Draper),1,1,1,1
A Prayer of the Eastern Church,1,1,1,1
A. S. T. Fisher,1,1,1,1
A.C.C.M.,1,1,1,1
Acts of Devotion,1,1,1,1
Adapted from a 16th c. German prayer,1,1,1,1
Adapted from A Book of Guide Prayers,1,1,1,1
Adapted from A Diocesan Service Book,1,1,1,1
Adapted from a prayer at the London Hospital,1,1,1,1
Adapted from a prayer for the General Synod in the Irish Prayer Book,1,1,1,1
Adapted from a prayer of A. E. Daldy,1,1,1,1
Adapted from a prayer of S.P.C.K.,1,1,1,1
Adapted from a prayer of St. Thomas Aquinas,1,1,1,1
Adapted from an ancient collect,1,1,1,1
