raw_value,assignment_count,file_count,canonical_value,action,notes
Frank Colquhoun,109,109,Frank Colquhoun,keep,
Daily Prayer,35,35,Daily Prayer,keep,
American Prayer Book,33,33,American Prayer Book,keep,
Augustine,29,29,Augustine,keep,
Church of South India,27,27,Church of South India,keep,
Book of Common Order,23,23,Book of Common Order,keep,
Scottish Prayer Book,23,23,Scottish Prayer Book,keep,
William Temple,22,22,William Temple,keep,
New Every Morning,20,20,New Every Morning,keep,
Prayers for the Christian Year,19,19,Prayers for the Christian Year,keep,
William Bright,19,19,William Bright,keep,
J. R. W. Stott,17,17,J. R. W. Stott,keep,
Canadian Prayer Book,15,15,Canadian Prayer Book,keep,
George Appleton,15,15,George Appleton,keep,
Frederick B. Macnutt,14,14,Frederick B. Macnutt,keep,
Gelasian Sacramentary,13,13,Gelasian Sacramentary,keep,
Adapted from Book of Common Prayer,12,12,Adapted from Book of Common Prayer,keep,
Henry Alford,12,12,Henry Alford,keep,
"The Kingdom, the Power, and the Glory",12,12,"The Kingdom, the Power, and the Glory",keep,
B. F. Westcott,11,11,B. F. Westcott,keep,
Euchologium Anglicanum,11,11,Euchologium Anglicanum,keep,
Irish Prayer Book,11,11,Irish Prayer Book,keep,
Leonine Sacramentary,10,10,Leonine Sacramentary,keep,
Canadian Prayer Book*,9,9,Canadian Prayer Book*,keep,
A Diocesan Service Book,8,8,A Diocesan Service Book,keep,
A Procession of Passion Prayers,8,8,A Procession of Passion Prayers,keep,
C. J. Vaughan,8,8,C. J. Vaughan,keep,
James M. Todd,8,8,James M. Todd,keep,
L. E. H. Stephens-Hodge,8,8,L. E. H. Stephens-Hodge,keep,
Peter Green,8,8,Peter Green,keep,
St. Augustine,8,8,St. Augustine,keep,
After the Third Collect,7,7,After the Third Collect,keep,
Basil Naylor,7,7,Basil Naylor,keep,
John Hunter,7,7,John Hunter,keep,
Lancelot Andrewes,7,7,Lancelot Andrewes,keep,
With all our Strength,7,7,With all our Strength,keep,
Ambrose,6,6,Ambrose,keep,
E. B. Pusey,6,6,E. B. Pusey,keep,
Guild of Health,6,6,Guild of Health,keep,
Henry Alford*,6,6,Henry Alford*,keep,
W. E. Orchard,6,6,W. E. Orchard,keep,
"Canterbury Convocation, 1862",5,5,"Canterbury Convocation, 1862",keep,
Christina Rossetti,5,5,Christina Rossetti,keep,
Harold Anson,5,5,Harold Anson,keep,
Harold Riley,5,5,Harold Riley,keep,
James Ferguson,5,5,James Ferguson,keep,
Jeremy Taylor,5,5,Jeremy Taylor,keep,
Lutheran Church,5,5,Lutheran Church,keep,
New Every Morning*,5,5,New Every Morning*,keep,
R. M. Benson,5,5,R. M. Benson,keep,
Richard D. Acland,5,5,Richard D. Acland,keep,
Ruby E. Cleeve,5,5,Ruby E. Cleeve,keep,
South African Prayer Book,5,5,South African Prayer Book,keep,
"The Kingdom, the Power, and the Glory*",5,5,"The Kingdom, the Power, and the Glory*",keep,
Thomas Ken,5,5,Thomas Ken,keep,
W. E. Scudamore,5,5,W. E. Scudamore,keep,
William Knight,5,5,William Knight,keep,
"A Form of Prayer, May 1940",4,4,"A Form of Prayer, May 1940",keep,
A. McCheane*,4,4,A. McCheane*,keep,
Clement of Rome,4,4,Clement of Rome,keep,
Gregorian Sacramentary,4,4,Gregorian Sacramentary,keep,
Guild of St. Raphael,4,4,Guild of St. Raphael,keep,
John Cosin,4,4,John Cosin,keep,
John Donne,4,4,John Donne,keep,
Liturgy of the Catholic Apostolic Church*,4,4,Liturgy of the Catholic Apostolic Church*,keep,
Mothers’ Union,4,4,Mothers’ Union,keep,
Mozarabic Sacramentary,4,4,Mozarabic Sacramentary,keep,
