tag,assignment_count,file_count,classification
1 Peter 5:10–11,1,1,bible_reference_like
Adapted from Micah 6:8,1,1,citation_provenance_scripture
Based on 1 Peter 1:3–5,1,1,citation_provenance_scripture
Based on 1 Peter 4:10–11,1,1,citation_provenance_scripture
Based on 2 Corinthians 4:6,1,1,citation_provenance_scripture
"Based on 2 John 3:23, 24",1,1,citation_provenance_scripture
Based on 2 Timothy 3:5–17,1,1,citation_provenance_scripture
Based on Colossians 1:10–12,1,1,citation_provenance_scripture
Based on Colossians 3:1–4,1,1,citation_provenance_scripture
Based on Ephesians 1:17–21,1,1,citation_provenance_scripture
Based on Ephesians 4:11–13,1,1,citation_provenance_scripture
Based on Ephesians 4:30–32,1,1,citation_provenance_scripture
Based on Ephesians 4:4–6,1,1,citation_provenance_scripture
Based on Ephesians 6:11–17,1,1,citation_provenance_scripture
"Based on Galatians 5:22, 23",1,1,citation_provenance_scripture
Based on Hebrews 10:19–24,1,1,citation_provenance_scripture
"Based on Hebrews 13:20, 21",1,1,citation_provenance_scripture
Based on John 4:23; Isaiah 29:13; Psalm 103.,1,1,citation_provenance_scripture
Based on Luke 8:15,1,1,citation_provenance_scripture
Based on Numbers 6:24–26,1,1,citation_provenance_scripture
Based on Philippians 1:9–11,1,1,citation_provenance_scripture
Based on Philippians 2:8–11,1,1,citation_provenance_scripture
Based on Philippians 2:9–11,1,1,citation_provenance_scripture
Based on Philippians 4:4–7,1,1,citation_provenance_scripture
"Based on Psalm 119. 105, 18, 162",1,1,citation_provenance_scripture
Based on Psalm 23:1–3,1,1,citation_provenance_scripture
Based on Romans 12:19–21,1,1,citation_provenance_scripture
Based on Romans 12:6–10. #### The first sign,1,1,citation_provenance_scripture
"Based on Romans 13. 11, 12, 1 Thessalonians 5:8",1,1,citation_provenance_scripture
Based on Romans 15:13,1,1,citation_provenance_scripture
Ephesians 3:14–19,1,1,bible_reference_like
"Ephesians 3:20, 21",1,1,bible_reference_like
"Hebrews 13:20, 21",1,1,bible_reference_like
"Jude 24, 25",1,1,bible_reference_like
Luke 2:15; Isaiah 9:6,1,1,bible_reference_like
"Psalms 104:24; 145:15, 16, 21",1,1,bible_reference_like
"Revelation 1:5, 6",1,1,bible_reference_like
Revelation 4:11; 5:13,1,1,bible_reference_like
