tag,group
The Church,acna_topical
At Times of Prayer and Worship,acna_topical
"Death, the Departed, and the Communion of Saints",acna_topical
Thanksgivings,acna_topical
Rites of Healing,acna_topical
Rites of Healing (Prayers for Use by a Sick Person),acna_topical
Burial of the Dead,acna_topical
Prayer for Mission,acna_topical
General and Concluding Prayers,acna_topical
Family Prayer,acna_topical
Creation,acna_topical
The Nation,acna_topical
The Nation (Specific to Canada),acna_topical
The Nation (Specific to the United States or Mexico),acna_topical
Social Order,acna_topical
Those in Need,acna_topical
Family and Personal Life,acna_topical
Family and Personal Life (Throughout the Day),acna_topical
Personal Devotion,acna_topical
Advent,seasonal
Christmas,seasonal
Epiphany,seasonal
Lent,seasonal
Holy Week,seasonal
Easter,seasonal
Ascension,seasonal
Pentecost,seasonal
Trinity Season,seasonal
Other Feasts,seasonal
