raw_tag,assignment_count,current_action,current_facet,extreme_action,extreme_tag,reason,confidence
The Church’s Year,650,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
Intercessory Prayers,423,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Various Occasions,265,keep,topic,drop,,not_in_extreme_canonical_set,medium
Devotional Prayers,248,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
The Trinity Season,135,keep,topic,map,Trinity Season,seasonal_rule,high
Sacraments and Ordinances,123,keep,topic,drop,,not_in_extreme_canonical_set,medium
Frank Colquhoun,109,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Holy Week,99,keep,liturgical_season,keep,Holy Week,canonical_exact,high
Supplementary Prayers,99,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Family and Personal Life,94,keep,life_or_church_context,keep,Family and Personal Life,canonical_exact,high
Various,65,keep,topic,drop,,not_in_extreme_canonical_set,medium
The Church,63,keep,life_or_church_context,keep,The Church,canonical_exact,high
Fourth Century Prayers,62,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Epiphany,61,keep,liturgical_season,keep,Epiphany,canonical_exact,high
Christmas,56,keep,liturgical_season,keep,Christmas,canonical_exact,high
Saints’ Days and Holy Days,55,keep,liturgical_season,map,Other Feasts,seasonal_rule,high
Our Nation and Government,51,keep,life_or_church_context,map,The Nation,explicit_alias_rule,medium
Eastertide,50,keep,liturgical_season,map,Easter,seasonal_rule,high
Thanksgivings,48,keep,prayer_type,keep,Thanksgivings,canonical_exact,high
Lent,45,keep,liturgical_season,keep,Lent,canonical_exact,high
Advent,44,keep,liturgical_season,keep,Advent,canonical_exact,high
The Suffering,44,keep,topic,drop,,not_in_extreme_canonical_set,medium
Fifth Century Prayers,40,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Personal Devotion,40,keep,prayer_type,keep,Personal Devotion,canonical_exact,high
The Church Overseas,39,keep,life_or_church_context,map,The Church,explicit_alias_rule,medium
The Church of God,38,keep,life_or_church_context,map,The Church,explicit_alias_rule,medium
American Prayer Book,36,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Daily Prayer,36,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Gelasian Sacramentary,36,keep,topic,drop,,not_in_extreme_canonical_set,medium
The Seven Words From the Cross,34,keep,topic,drop,,not_in_extreme_canonical_set,medium
General Prayers,32,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Social Order,32,keep,topic,keep,Social Order,canonical_exact,high
In the Ember Weeks,31,keep,topic,map,Other Feasts,seasonal_rule,high
The Season After Pentecost,31,keep,topic,map,Pentecost,seasonal_rule,high
Holy Days,30,keep,liturgical_season,map,Other Feasts,seasonal_rule,high
The Nation,30,keep,life_or_church_context,keep,The Nation,canonical_exact,high
Augustine,29,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Church of South India,27,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Those in Need,27,keep,topic,keep,Those in Need,canonical_exact,high
Holy Communion,26,keep,topic,drop,,not_in_extreme_canonical_set,medium
Book of Common Order,25,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
General and Concluding Prayers,25,keep,prayer_type,keep,General and Concluding Prayers,canonical_exact,high
New Every Morning,25,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Society and Industry,25,keep,topic,drop,,not_in_extreme_canonical_set,medium
At Times of Prayer and Worship,24,keep,prayer_type,keep,At Times of Prayer and Worship,canonical_exact,high
Canadian Prayer Book,24,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Church Meetings,24,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
Home and Friends,24,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
Concluding Prayers,23,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Fifth Sunday After Easter: Rogation Sunday,23,keep,topic,map,Easter,seasonal_rule,high
Scottish Prayer Book,23,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
The Nations of the World,23,keep,life_or_church_context,map,The Nation,explicit_alias_rule,medium
Whitsunday,23,keep,topic,map,Pentecost,seasonal_rule,high
Whitsuntide,23,keep,topic,map,Pentecost,seasonal_rule,high
Ascensiontide,22,keep,topic,map,Ascension,seasonal_rule,high
Education and Youth,22,keep,topic,drop,,not_in_extreme_canonical_set,medium
Family and Personal Life (Throughout the Day),22,keep,life_or_church_context,keep,Family and Personal Life (Throughout the Day),canonical_exact,high
Gift Day or Stewardship Sunday,22,keep,topic,drop,,not_in_extreme_canonical_set,medium
Leonine Sacramentary,22,keep,topic,drop,,not_in_extreme_canonical_set,medium
The Church at Home,22,keep,life_or_church_context,map,The Church,explicit_alias_rule,medium
The Sick,22,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
William Temple,22,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
First Century Prayers,21,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Prayers for the Christian Year,21,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Septuagesima to Quinquagesima,21,keep,topic,drop,,not_in_extreme_canonical_set,medium
The Departed,21,keep,topic,drop,,not_in_extreme_canonical_set,medium
