tag,assignment_count,file_count,classification
Adapted from Book of Common Prayer,12,12,provenance_non_scriptural_source
After the Third Collect,7,7,provenance_non_scriptural_source
After Jeremy Taylor,3,3,provenance_non_scriptural_source
Adapted from Gelasian Sacramentary,2,2,provenance_non_scriptural_source
Adapted from Irish Prayer Book,2,2,provenance_non_scriptural_source
Adapted from Jeremy Taylor,2,2,provenance_non_scriptural_source
Adapted from various sources,2,2,provenance_non_scriptural_source
After Gelasian Sacramentary,2,2,provenance_non_scriptural_source
After J. H. Newman,2,2,provenance_non_scriptural_source
After Lancelot Andrewes,2,2,provenance_non_scriptural_source
After St. Augustine,2,2,provenance_non_scriptural_source
Based on Book of Common Prayer,2,2,provenance_non_scriptural_source
From a prayer of the Eastern Church,2,2,provenance_non_scriptural_source
From the Accession Service,2,2,provenance_non_scriptural_source
Adapted from a 16th c. German prayer,1,1,provenance_non_scriptural_source
Adapted from A Book of Guide Prayers,1,1,provenance_non_scriptural_source
Adapted from A Diocesan Service Book,1,1,provenance_non_scriptural_source
Adapted from a prayer at the London Hospital,1,1,provenance_non_scriptural_source
Adapted from a prayer for the General Synod in the Irish Prayer Book,1,1,provenance_non_scriptural_source
Adapted from a prayer of A. E. Daldy,1,1,provenance_non_scriptural_source
Adapted from a prayer of S.P.C.K.,1,1,provenance_non_scriptural_source
Adapted from a prayer of St. Thomas Aquinas,1,1,provenance_non_scriptural_source
Adapted from an ancient collect,1,1,provenance_non_scriptural_source
Adapted from Book of Common Order,1,1,provenance_non_scriptural_source
Adapted from Didache,1,1,provenance_non_scriptural_source
Adapted from George Appleton,1,1,provenance_non_scriptural_source
Adapted from John Donne,1,1,provenance_non_scriptural_source
Adapted from Lancelot Andrewes (Daily Prayer),1,1,provenance_non_scriptural_source
Adapted from Liturgy of St. James,1,1,provenance_non_scriptural_source
Adapted from Mozarabic Sacramentary,1,1,provenance_non_scriptural_source
Adapted from Prayers for the Christian Year,1,1,provenance_non_scriptural_source
Adapted from Roman Breviary,1,1,provenance_non_scriptural_source
Adapted from Sarum Missal,1,1,provenance_non_scriptural_source
Adapted from Sarum Primer,1,1,provenance_non_scriptural_source
Adapted from Scottish Prayer Book,1,1,provenance_non_scriptural_source
Adapted from St. Nerses of Clajes,1,1,provenance_non_scriptural_source
Adapted from Student Prayer,1,1,provenance_non_scriptural_source
Adapted from Thomas Arnold,1,1,provenance_non_scriptural_source
After A. J. Mason,1,1,provenance_non_scriptural_source
After Christina Rossetti,1,1,provenance_non_scriptural_source
After George Wither (Daily Prayer),1,1,provenance_non_scriptural_source
After Mozarabic Sacramentary,1,1,provenance_non_scriptural_source
After Prayers of 1585,1,1,provenance_non_scriptural_source
After Sir Francis Drake,1,1,provenance_non_scriptural_source
After St. Anselm,1,1,provenance_non_scriptural_source
After St. Francis of Assisi,1,1,provenance_non_scriptural_source
After St. Fulgentius,1,1,provenance_non_scriptural_source
After St. Jerome,1,1,provenance_non_scriptural_source
After St. Thomas Aquinas,1,1,provenance_non_scriptural_source
After the 55th Canon of 1603,1,1,provenance_non_scriptural_source
After William Laud,1,1,provenance_non_scriptural_source
Based on a 16th century prayer,1,1,provenance_non_scriptural_source
"Based on a prayer of the Pan-Anglican Congress, 1908",1,1,provenance_non_scriptural_source
Based on a sixteenth century prayer,1,1,provenance_non_scriptural_source
Based on Confirmation Service,1,1,provenance_non_scriptural_source
Based on Thomas Ken,1,1,provenance_non_scriptural_source
From an ancient prayer,1,1,provenance_non_scriptural_source
From Book of Common Prayer,1,1,provenance_non_scriptural_source
From Primer of 1555,1,1,provenance_non_scriptural_source
From the Gothic,1,1,provenance_non_scriptural_source
From the Litany,1,1,provenance_non_scriptural_source
From the Liturgy of Malabar,1,1,provenance_non_scriptural_source
From the Order of Compline,1,1,provenance_non_scriptural_source
