value,overlap_file_count,tag_assignment_count,attribution_assignment_count,section_count,sections
Frank Colquhoun,109,109,109,6,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-supplementary;parish-year
Daily Prayer,35,36,35,4,parish-devotional;parish-intercessory;parish-occasions;parish-year
American Prayer Book,33,36,33,5,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-year
Augustine,29,29,29,1,potec
Church of South India,27,27,27,4,parish-devotional;parish-occasions;parish-sacraments;parish-year
Book of Common Order,23,25,23,6,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-supplementary;parish-year
Scottish Prayer Book,23,23,23,5,parish-intercessory;parish-occasions;parish-sacraments;parish-supplementary;parish-year
William Temple,22,22,22,5,acna2019;parish-devotional;parish-intercessory;parish-occasions;parish-year
New Every Morning,20,25,20,5,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-year
Prayers for the Christian Year,19,21,19,2,parish-occasions;parish-year
William Bright,19,20,19,5,parish-devotional;parish-intercessory;parish-occasions;parish-supplementary;parish-year
J. R. W. Stott,17,17,17,6,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-supplementary;parish-year
Canadian Prayer Book,15,24,15,6,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-supplementary;parish-year
George Appleton,15,15,15,3,parish-intercessory;parish-occasions;parish-year
Frederick B. Macnutt,14,14,14,3,parish-intercessory;parish-sacraments;parish-year
Gelasian Sacramentary,13,36,13,6,parish-devotional;parish-intercessory;parish-sacraments;parish-supplementary;parish-year;potec
Adapted from Book of Common Prayer,12,12,12,5,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-year
Henry Alford,12,18,12,2,parish-devotional;parish-year
"The Kingdom, the Power, and the Glory",12,17,12,5,parish-devotional;parish-intercessory;parish-occasions;parish-supplementary;parish-year
B. F. Westcott,11,14,11,5,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-year
Euchologium Anglicanum,11,11,11,1,parish-year
Irish Prayer Book,11,14,11,5,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-year
Leonine Sacramentary,10,22,10,4,parish-devotional;parish-sacraments;parish-year;potec
A Diocesan Service Book,8,9,8,4,parish-intercessory;parish-occasions;parish-sacraments;parish-supplementary
A Procession of Passion Prayers,8,8,8,3,parish-occasions;parish-sacraments;parish-year
C. J. Vaughan,8,9,8,3,parish-devotional;parish-intercessory;parish-year
James M. Todd,8,8,8,4,parish-devotional;parish-intercessory;parish-occasions;parish-year
L. E. H. Stephens-Hodge,8,8,8,1,parish-year
Peter Green,8,9,8,2,parish-intercessory;parish-year
St. Augustine,8,8,8,3,parish-devotional;parish-occasions;parish-year
After the Third Collect,7,7,7,4,parish-devotional;parish-intercessory;parish-occasions;parish-year
Basil Naylor,7,7,7,1,parish-year
John Hunter,7,8,7,5,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-year
Lancelot Andrewes,7,7,7,4,acna2019;parish-devotional;parish-intercessory;parish-year
With all our Strength,7,7,7,4,parish-devotional;parish-intercessory;parish-occasions;parish-year
Ambrose,6,6,6,1,potec
E. B. Pusey,6,7,6,3,parish-devotional;parish-sacraments;parish-year
Guild of Health,6,8,6,2,parish-intercessory;parish-sacraments
W. E. Orchard,6,9,6,3,parish-intercessory;parish-occasions;parish-year
"Canterbury Convocation, 1862",5,7,5,2,parish-occasions;parish-year
Christina Rossetti,5,6,5,2,parish-devotional;parish-year
Harold Anson,5,5,5,3,parish-intercessory;parish-occasions;parish-year
Harold Riley,5,5,5,1,parish-year
James Ferguson,5,6,5,1,parish-year
Jeremy Taylor,5,5,5,3,parish-intercessory;parish-occasions;parish-year
Lutheran Church,5,5,5,3,parish-devotional;parish-intercessory;parish-year
R. M. Benson,5,5,5,4,parish-intercessory;parish-sacraments;parish-supplementary;parish-year
Richard D. Acland,5,5,5,1,parish-year
Ruby E. Cleeve,5,5,5,1,parish-occasions
South African Prayer Book,5,7,5,3,parish-intercessory;parish-sacraments;parish-year
Thomas Ken,5,5,5,3,parish-devotional;parish-occasions;parish-year
W. E. Scudamore,5,7,5,2,parish-intercessory;parish-year
William Knight,5,8,5,4,parish-devotional;parish-intercessory;parish-occasions;parish-year
"A Form of Prayer, May 1940",4,4,4,2,parish-devotional;parish-intercessory
Clement of Rome,4,4,4,1,potec
Gregorian Sacramentary,4,6,4,3,parish-devotional;parish-intercessory;parish-year
Guild of St. Raphael,4,4,4,1,parish-sacraments
John Cosin,4,5,4,3,parish-devotional;parish-occasions;parish-year
John Donne,4,4,4,2,other;parish-occasions
Mothers’ Union,4,4,4,2,parish-intercessory;parish-sacraments
Mozarabic Sacramentary,4,7,4,2,parish-devotional;parish-year
"A Form of Prayer, August 1914",3,3,3,2,parish-intercessory;parish-occasions
After Jeremy Taylor,3,3,3,2,parish-devotional;parish-intercessory
"Anglican Altar Services, 1941",3,3,3,1,parish-year
Arthur W. Robinson,3,3,3,3,parish-devotional;parish-intercessory;parish-year
Basil,3,3,3,1,potec
Country Services,3,4,3,2,parish-intercessory;parish-year
E. M. Goulburn,3,3,3,2,parish-devotional;parish-year
E. Milner-White,3,3,3,1,parish-year
E. W. Benson,3,4,3,3,parish-devotional;parish-intercessory;parish-year
George Timms,3,3,3,1,parish-year
"German Reformed Church, U.S.A.",3,3,3,1,parish-year
J. Armitage Robinson,3,4,3,3,parish-intercessory;parish-supplementary;parish-year
John Chrysostom,3,3,3,1,potec
Liturgy of the Catholic Apostolic Church,3,7,3,3,parish-devotional;parish-sacraments;parish-year
Nerses of Clajes,3,3,3,1,potec
Percy Dearmer,3,4,3,1,parish-intercessory
Prayers of the World-Wide Church,3,5,3,3,parish-intercessory;parish-occasions;parish-year
Ryan Willers,3,3,3,1,other
The Daily Service,3,3,3,3,parish-devotional;parish-occasions;parish-year
A Book of Prayers for Students,2,5,2,3,parish-devotional;parish-intercessory;parish-sacraments
A Book of Public Worship,2,2,2,1,parish-intercessory
A Book of Services and Prayers,2,2,2,1,parish-supplementary
