tag,assignment_count,file_count,section_count,sections,classification,citation_like
The Church’s Year,650,650,2,parish-occasions;parish-year,topic_or_source,no
Intercessory Prayers,423,423,1,parish-intercessory,topic_or_source,no
Various Occasions,265,265,1,parish-occasions,topic_or_source,no
Devotional Prayers,248,248,1,parish-devotional,topic_or_source,no
The Trinity Season,135,135,1,parish-year,topic_or_source,no
Sacraments and Ordinances,123,123,2,other;parish-sacraments,topic_or_source,no
Frank Colquhoun,109,109,6,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-supplementary;parish-year,topic_or_source,no
Holy Week,99,99,2,acna2019collects;parish-year,topic_or_source,no
Supplementary Prayers,99,99,1,parish-supplementary,topic_or_source,no
Family and Personal Life,94,94,4,acna2019;potec;tec1928;tec1979,topic_or_source,no
Various,65,65,3,parish-devotional;parish-intercessory;parish-supplementary,topic_or_source,no
The Church,63,63,6,acna2019;coi2004;other;potec;tec1928;tec1979,topic_or_source,no
Fourth Century Prayers,62,62,2,other;potec,topic_or_source,no
Epiphany,61,61,2,acna2019collects;parish-year,topic_or_source,no
Christmas,56,56,2,acna2019collects;parish-year,topic_or_source,no
Saints’ Days and Holy Days,55,55,1,parish-year,topic_or_source,no
Our Nation and Government,51,51,1,parish-intercessory,topic_or_source,no
Eastertide,50,50,1,parish-year,topic_or_source,no
Thanksgivings,48,48,6,acna2019;coe1662;coi2004;potec;tec1928;tec1979,topic_or_source,no
Lent,45,45,2,acna2019collects;parish-year,topic_or_source,no
Advent,44,44,2,acna2019collects;parish-year,topic_or_source,no
The Suffering,44,44,1,parish-intercessory,topic_or_source,no
Fifth Century Prayers,40,40,1,potec,topic_or_source,no
Personal Devotion,40,40,2,acna2019;potec,topic_or_source,no
The Church Overseas,39,39,1,parish-intercessory,topic_or_source,no
The Church of God,38,38,1,parish-intercessory,source_like,no
American Prayer Book,36,36,5,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-year,source_like,no
Daily Prayer,36,36,4,parish-devotional;parish-intercessory;parish-occasions;parish-year,topic_or_source,no
Gelasian Sacramentary,36,36,6,parish-devotional;parish-intercessory;parish-sacraments;parish-supplementary;parish-year;potec,source_like,no
The Seven Words From the Cross,34,34,1,parish-year,topic_or_source,no
General Prayers,32,32,2,parish-devotional;parish-year,topic_or_source,no
Social Order,32,32,5,acna2019;coe1662;potec;tec1928;tec1979,source_like,no
In the Ember Weeks,31,31,1,parish-year,topic_or_source,no
