raw_value,assignment_count,file_count,overlap_file_count,overlap_ratio,canonical_value,reviewed_action,reviewed_facet,tag_surface_policy,confidence,rationale,review_notes
The Church’s Year,650,650,0,0.00,The Church’s Year,keep,life_or_church_context,retain_tag,medium,topical_default,
Intercessory Prayers,423,423,0,0.00,Intercessory Prayers,keep,prayer_type,retain_tag,medium,topical_default,
Various Occasions,265,265,0,0.00,Various Occasions,keep,topic,retain_tag,medium,topical_default,
Devotional Prayers,248,248,0,0.00,Devotional Prayers,keep,prayer_type,retain_tag,medium,topical_default,
The Trinity Season,135,135,0,0.00,The Trinity Season,keep,topic,retain_tag,medium,topical_default,
Sacraments and Ordinances,123,123,0,0.00,Sacraments and Ordinances,keep,topic,retain_tag,medium,topical_default,
Frank Colquhoun,109,109,109,1.00,Frank Colquhoun,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Holy Week,99,99,0,0.00,Holy Week,keep,liturgical_season,retain_tag,medium,topical_default,
Supplementary Prayers,99,99,0,0.00,Supplementary Prayers,keep,prayer_type,retain_tag,medium,topical_default,
Family and Personal Life,94,94,0,0.00,Family and Personal Life,keep,life_or_church_context,retain_tag,medium,topical_default,
Various,65,65,0,0.00,Various,keep,topic,retain_tag,medium,topical_default,
The Church,63,63,0,0.00,The Church,keep,life_or_church_context,retain_tag,medium,topical_default,
Fourth Century Prayers,62,62,0,0.00,Fourth Century Prayers,keep,prayer_type,retain_tag,medium,topical_default,
Epiphany,61,61,0,0.00,Epiphany,keep,liturgical_season,retain_tag,medium,topical_default,
Christmas,56,56,0,0.00,Christmas,keep,liturgical_season,retain_tag,medium,topical_default,
Saints’ Days and Holy Days,55,55,0,0.00,Saints’ Days and Holy Days,keep,liturgical_season,retain_tag,medium,topical_default,
Our Nation and Government,51,51,0,0.00,Our Nation and Government,keep,life_or_church_context,retain_tag,medium,topical_default,
Eastertide,50,50,0,0.00,Eastertide,keep,liturgical_season,retain_tag,medium,topical_default,
Thanksgivings,48,48,0,0.00,Thanksgivings,keep,prayer_type,retain_tag,medium,topical_default,
Lent,45,45,0,0.00,Lent,keep,liturgical_season,retain_tag,medium,topical_default,
Advent,44,44,0,0.00,Advent,keep,liturgical_season,retain_tag,medium,topical_default,
The Suffering,44,44,0,0.00,The Suffering,keep,topic,retain_tag,medium,topical_default,
Fifth Century Prayers,40,40,0,0.00,Fifth Century Prayers,keep,prayer_type,retain_tag,medium,topical_default,
Personal Devotion,40,40,0,0.00,Personal Devotion,keep,prayer_type,retain_tag,medium,topical_default,
The Church Overseas,39,39,0,0.00,The Church Overseas,keep,life_or_church_context,retain_tag,medium,topical_default,
The Church of God,38,38,0,0.00,The Church of God,keep,life_or_church_context,retain_tag,medium,topical_default,
American Prayer Book,36,36,33,0.92,American Prayer Book,move_to_source,source_text,remove_from_tags,medium,overlap_and_source_like_label,
Daily Prayer,36,36,35,0.97,Daily Prayer,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
Gelasian Sacramentary,36,36,13,0.36,Gelasian Sacramentary,keep,topic,retain_tag,medium,topical_default,
