raw_value,assignment_count,file_count,overlap_file_count,canonical_value,suggested_facet,suggested_action,suggestion_reason,reviewed_action,reviewed_facet,review_notes
The Church’s Year,650,650,0,The Church’s Year,,keep,default_keep,,,
Intercessory Prayers,423,423,0,Intercessory Prayers,,keep,default_keep,,,
Various Occasions,265,265,0,Various Occasions,,keep,default_keep,,,
Devotional Prayers,248,248,0,Devotional Prayers,,keep,default_keep,,,
The Trinity Season,135,135,0,The Trinity Season,,keep,default_keep,,,
Sacraments and Ordinances,123,123,0,Sacraments and Ordinances,,keep,default_keep,,,
Frank Colquhoun,109,109,109,Frank Colquhoun,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Holy Week,99,99,0,Holy Week,,keep,default_keep,,,
Supplementary Prayers,99,99,0,Supplementary Prayers,,keep,default_keep,,,
Family and Personal Life,94,94,0,Family and Personal Life,,keep,default_keep,,,
Various,65,65,0,Various,,keep,default_keep,,,
The Church,63,63,0,The Church,,keep,default_keep,,,
Fourth Century Prayers,62,62,0,Fourth Century Prayers,,keep,default_keep,,,
Epiphany,61,61,0,Epiphany,,keep,default_keep,,,
Christmas,56,56,0,Christmas,,keep,default_keep,,,
Saints’ Days and Holy Days,55,55,0,Saints’ Days and Holy Days,,keep,default_keep,,,
Our Nation and Government,51,51,0,Our Nation and Government,,keep,default_keep,,,
Eastertide,50,50,0,Eastertide,,keep,default_keep,,,
Thanksgivings,48,48,0,Thanksgivings,,keep,default_keep,,,
Lent,45,45,0,Lent,,keep,default_keep,,,
Advent,44,44,0,Advent,,keep,default_keep,,,
The Suffering,44,44,0,The Suffering,,keep,default_keep,,,
Fifth Century Prayers,40,40,0,Fifth Century Prayers,,keep,default_keep,,,
Personal Devotion,40,40,0,Personal Devotion,,keep,default_keep,,,
The Church Overseas,39,39,0,The Church Overseas,,keep,default_keep,,,
The Church of God,38,38,0,The Church of God,,keep,default_keep,,,
American Prayer Book,36,36,33,American Prayer Book,source,move_to_source,high_overlap_and_source_like,,,
Daily Prayer,36,36,35,Daily Prayer,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Gelasian Sacramentary,36,36,13,Gelasian Sacramentary,,keep,default_keep,,,
The Seven Words From the Cross,34,34,0,The Seven Words From the Cross,,keep,default_keep,,,
General Prayers,32,32,0,General Prayers,,keep,default_keep,,,
Social Order,32,32,0,Social Order,,keep,default_keep,,,
In the Ember Weeks,31,31,0,In the Ember Weeks,,keep,default_keep,,,
The Season After Pentecost,31,31,0,The Season After Pentecost,,keep,default_keep,,,
Holy Days,30,30,0,Holy Days,,keep,default_keep,,,
The Nation,30,30,0,The Nation,,keep,default_keep,,,
Augustine,29,29,29,Augustine,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Church of South India,27,27,27,Church of South India,source,move_to_source,high_overlap_and_source_like,,,
Those in Need,27,27,0,Those in Need,,keep,default_keep,,,
Holy Communion,26,26,0,Holy Communion,,keep,default_keep,,,
Book of Common Order,25,25,23,Book of Common Order,source,move_to_source,high_overlap_and_source_like,,,
General and Concluding Prayers,25,25,0,General and Concluding Prayers,,keep,default_keep,,,
New Every Morning,25,25,20,New Every Morning,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Society and Industry,25,25,0,Society and Industry,,keep,default_keep,,,
At Times of Prayer and Worship,24,24,0,At Times of Prayer and Worship,,keep,default_keep,,,
Canadian Prayer Book,24,24,15,Canadian Prayer Book,,keep,default_keep,,,
Church Meetings,24,24,0,Church Meetings,,keep,default_keep,,,
Home and Friends,24,24,0,Home and Friends,,keep,default_keep,,,
Concluding Prayers,23,23,0,Concluding Prayers,,keep,default_keep,,,
Fifth Sunday After Easter: Rogation Sunday,23,23,0,Fifth Sunday After Easter: Rogation Sunday,,keep,default_keep,,,
Scottish Prayer Book,23,23,23,Scottish Prayer Book,source,move_to_source,high_overlap_and_source_like,,,
The Nations of the World,23,23,0,The Nations of the World,,keep,default_keep,,,
Whitsunday,23,23,0,Whitsunday,,keep,default_keep,,,
Whitsuntide,23,23,0,Whitsuntide,,keep,default_keep,,,
Ascensiontide,22,22,0,Ascensiontide,,keep,default_keep,,,
Education and Youth,22,22,0,Education and Youth,,keep,default_keep,,,
Family and Personal Life (Throughout the Day),22,22,0,Family and Personal Life (Throughout the Day),,keep,default_keep,,,
Gift Day or Stewardship Sunday,22,22,0,Gift Day or Stewardship Sunday,,keep,default_keep,,,
Leonine Sacramentary,22,22,10,Leonine Sacramentary,,keep,default_keep,,,
The Church at Home,22,22,0,The Church at Home,,keep,default_keep,,,
The Sick,22,22,0,The Sick,,keep,default_keep,,,
William Temple,22,22,22,William Temple,attribution,move_to_attribution,high_tag_attribution_overlap,,,
First Century Prayers,21,21,0,First Century Prayers,,keep,default_keep,,,
Prayers for the Christian Year,21,21,19,Prayers for the Christian Year,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Septuagesima to Quinquagesima,21,21,0,Septuagesima to Quinquagesima,,keep,default_keep,,,
The Departed,21,21,0,The Departed,,keep,default_keep,,,
Vestry Prayers,21,21,0,Vestry Prayers,,keep,default_keep,,,
A Memorial Service,20,20,0,A Memorial Service,,keep,default_keep,,,
Children’s Church,20,20,0,Children’s Church,,keep,default_keep,,,
Harvest Thanksgiving,20,20,0,Harvest Thanksgiving,,keep,default_keep,,,
