raw_value,assignment_count,file_count,canonical_value,facet,action,notes
The Church’s Year,650,650,The Church’s Year,,keep,
Intercessory Prayers,423,423,Intercessory Prayers,,keep,
Various Occasions,265,265,Various Occasions,,keep,
Devotional Prayers,248,248,Devotional Prayers,,keep,
The Trinity Season,135,135,The Trinity Season,,keep,
Sacraments and Ordinances,123,123,Sacraments and Ordinances,,keep,
Frank Colquhoun,109,109,Frank Colquhoun,,keep,
Holy Week,99,99,Holy Week,,keep,
Supplementary Prayers,99,99,Supplementary Prayers,,keep,
Family and Personal Life,94,94,Family and Personal Life,,keep,
Various,65,65,Various,,keep,
The Church,63,63,The Church,,keep,
Fourth Century Prayers,62,62,Fourth Century Prayers,,keep,
Epiphany,61,61,Epiphany,,keep,
Christmas,56,56,Christmas,,keep,
Saints’ Days and Holy Days,55,55,Saints’ Days and Holy Days,,keep,
Our Nation and Government,51,51,Our Nation and Government,,keep,
Eastertide,50,50,Eastertide,,keep,
Thanksgivings,48,48,Thanksgivings,,keep,
Lent,45,45,Lent,,keep,
Advent,44,44,Advent,,keep,
The Suffering,44,44,The Suffering,,keep,
Fifth Century Prayers,40,40,Fifth Century Prayers,,keep,
Personal Devotion,40,40,Personal Devotion,,keep,
The Church Overseas,39,39,The Church Overseas,,keep,
The Church of God,38,38,The Church of God,,keep,
American Prayer Book,36,36,American Prayer Book,,keep,
Daily Prayer,36,36,Daily Prayer,,keep,
Gelasian Sacramentary,36,36,Gelasian Sacramentary,,keep,
The Seven Words From the Cross,34,34,The Seven Words From the Cross,,keep,
General Prayers,32,32,General Prayers,,keep,
Social Order,32,32,Social Order,,keep,
In the Ember Weeks,31,31,In the Ember Weeks,,keep,
The Season After Pentecost,31,31,The Season After Pentecost,,keep,
Holy Days,30,30,Holy Days,,keep,
The Nation,30,30,The Nation,,keep,
Augustine,29,29,Augustine,,keep,
Church of South India,27,27,Church of South India,,keep,
Those in Need,27,27,Those in Need,,keep,
Holy Communion,26,26,Holy Communion,,keep,
Book of Common Order,25,25,Book of Common Order,,keep,
General and Concluding Prayers,25,25,General and Concluding Prayers,,keep,
New Every Morning,25,25,New Every Morning,,keep,
Society and Industry,25,25,Society and Industry,,keep,
At Times of Prayer and Worship,24,24,At Times of Prayer and Worship,,keep,
Canadian Prayer Book,24,24,Canadian Prayer Book,,keep,
Church Meetings,24,24,Church Meetings,,keep,
Home and Friends,24,24,Home and Friends,,keep,
Concluding Prayers,23,23,Concluding Prayers,,keep,
Fifth Sunday After Easter: Rogation Sunday,23,23,Fifth Sunday After Easter: Rogation Sunday,,keep,
Scottish Prayer Book,23,23,Scottish Prayer Book,,keep,
The Nations of the World,23,23,The Nations of the World,,keep,
Whitsunday,23,23,Whitsunday,,keep,
Whitsuntide,23,23,Whitsuntide,,keep,
Ascensiontide,22,22,Ascensiontide,,keep,
Education and Youth,22,22,Education and Youth,,keep,
Family and Personal Life (Throughout the Day),22,22,Family and Personal Life (Throughout the Day),,keep,
Gift Day or Stewardship Sunday,22,22,Gift Day or Stewardship Sunday,,keep,
Leonine Sacramentary,22,22,Leonine Sacramentary,,keep,
The Church at Home,22,22,The Church at Home,,keep,
The Sick,22,22,The Sick,,keep,
William Temple,22,22,William Temple,,keep,
First Century Prayers,21,21,First Century Prayers,,keep,
Prayers for the Christian Year,21,21,Prayers for the Christian Year,,keep,
Septuagesima to Quinquagesima,21,21,Septuagesima to Quinquagesima,,keep,
The Departed,21,21,The Departed,,keep,
Vestry Prayers,21,21,Vestry Prayers,,keep,
A Memorial Service,20,20,A Memorial Service,,keep,
Children’s Church,20,20,Children’s Church,,keep,
Harvest Thanksgiving,20,20,Harvest Thanksgiving,,keep,
William Bright,20,20,William Bright,,keep,
Education Sunday,19,19,Education Sunday,,keep,
Evangelism,19,19,Evangelism,,keep,
Creation,18,18,Creation,,keep,
Easter,18,18,Easter,,keep,
Henry Alford,18,18,Henry Alford,,keep,
In Time of War,18,18,In Time of War,,keep,
Lesser Feasts,18,18,Lesser Feasts,,keep,
